image,text,generated
./blip/data/normal/3780768589.jpg,four different men sitting outside on cement steps in front of a building.,men sitting on steps outside of a building.
./blip/data/normal/4786476156.jpg,a man with an orange shirt and sunglasses along with a young boy and train conductor ride a children's train through a park.,a group of people and a baby are riding in a train.
./blip/data/normal/4789309483.jpg,a man in a black hat and blue shirt taking a picture on the side of an urban street.,a man in a hat is taking a picture in the middle of the street.
./blip/data/normal/4578856261.jpg,a guy with a backpack and orange bag walks past a large building.,a man with a backpack and a hanging bag is walking down the street.
./blip/data/normal/3335965982.jpg,a man in a black shirt next to a laptop and in front of a screen is looking off to the side.,a man is sitting at a table and looking at a presentation on a laptop.
./blip/data/normal/4637951374.jpg,"eleven people gather in lake, group on left are male and conversing, group on right, male and female, walking further out into lake.",a group of people in bathing suits are in the water.
./blip/data/normal/4464247181.jpg,a woman sitting on a bench next to someone wearing a hat and sitting in a wheelchair.,a woman in a wheelchair is reading a book while another sits on a bench.
./blip/data/normal/3721102409.jpg,a man in a green t-shirts holds his sneakers while walking alone down a beach.,a man wearing a green t-shirt and shorts walks along a beach with the ocean in the background.
./blip/data/normal/5498941021.jpg,a man in a white hoodie is sitting on top of bamboo scaffolding near the roof of a building holding a spade.,in this scenario. a man wearing white robe and a white hat is standing on the top of a wooden ledge with a bright blue sky in the middle of the work area.
./blip/data/normal/221586389.jpg,a group of young people are listening to a man in a blue shirt telling them about brazil.,a man is speaking to a group of people on a wooden bench.
./blip/data/normal/4952001654.jpg,overhead shot of 2 teenagers both looking at a shirt being held up by one of them.,a couple is looking at something in a circular area.
./blip/data/normal/164969525.jpg,"three people dancing acrobatically in a subway station, with one girl in a skirt doing a cartwheel over another person bending over.",a man and woman doing a trick on the street.
./blip/data/normal/4494095559.jpg,"a man on a skateboard waits at the corner of a city street, with an overpass in the background.",a man is skating down a street.
./blip/data/normal/7764093618.jpg,"two women sit on a brown scooter, one is wearing blue jeans and a brown jacket, the other is carrying a bag and has on black pants and a black top with a green hat.",a woman and baby sitting on a motorcycle.
./blip/data/normal/702083815.jpg,a baseball pitcher is halfway through his motion of throwing the ball.,a baseball player is throwing a pitch while the umpire watches.
./blip/data/normal/6278649113.jpg,"a young girl in a blue shirt is in a bowling alley, and is casting her ball down a lane.",a woman is bowling at a bowling alley.
./blip/data/normal/2847514745.jpg,a group of people sit near a large red brick building in the grass.,in this scenario. a group of people sitting on the lawn of a brick building.
./blip/data/normal/583865081.jpg,an asian man walking down an alley talking on his cellphone with brightly colored fabric behind him.,a man in a black suit is talking on his cellphone in an urban setting.
./blip/data/normal/4814933116.jpg,a woman lounges on a towel in front of people enjoying the blue water.,in this scenario. a woman in a bikini is laying out in the sun.
./blip/data/normal/2978409165.jpg,a man in a blue wetsuit rides a wave on a white surfboard.,a man in a blue and white wetsuit is surfing in the ocean.
./blip/data/normal/396360611.jpg,a person with a backpack stands on a rocky bank beside a body of water.,a man with a backpack stands on top of a rock overlooking a body of water.
./blip/data/normal/2424620984.jpg,little boy wearing a dark blue shirt and yellow shorts playing with a soccer ball in grass.,a little boy is playing soccer.
./blip/data/normal/3182490771.jpg,the lone man in red sits outside of his blue door and windowed house contemplating about his thought.,a man sitting in a small hut on the ground.
./blip/data/normal/3815960082.jpg,a little girl is sleeping with a book on her chest next to a doll.,a little girl is laying in bed reading a book.
./blip/data/normal/2547291721.jpg,two men are walking up a ramp while a third walks up a separate ramp in the opposite direction.,two men are walking down a roadway.
./blip/data/normal/2709044515.jpg,"a man in a chef's uniform holding a large skillet over a stove, with fire coming out of the skillet.","a chef is cooking with a large, white, stainless-steel bowl."
./blip/data/normal/196521598.jpg,a construction worker is driving heavy equipment at a work site.,in this scene. a worker is preparing a site for a future construction.
./blip/data/normal/829798661.jpg,a young boy is either jumping on a trampoline or skateboarding and he is serious about it on a beautiful summer day.,"a boy is in the air, performing a trick."
./blip/data/normal/6320815265.jpg,"a female runner dressed in blue athletic wear is running in a competition, while spectators line the street.",in this scenario. a woman in blue shorts is running across the street.
./blip/data/normal/7187734520.jpg,a skateboarder rides the bowl of a skate park while a man watches in the background.,a man is skateboarding in a park.
./blip/data/normal/3078844565.jpg,a man in jeans and a white shirt is standing near a rock formation with his back to the camera.,a man in white shorts is climbing on a rock.
./blip/data/normal/2255633616.jpg,a man dressed in all black is wearing shades and standing in snow and there is a red vehicle in back of him.,a man is trying to get his car out of the snow.
./blip/data/normal/4450821292.jpg,a male and female are holding hands and - walking down a winding walkway on a sunny day.,two people are walking under a covered structure.
./blip/data/normal/3671851846.jpg,a woman holds her little white dog and points to a big brown dog at the bottom of the hill.,a woman is holding a stuffed animal in a green field.
./blip/data/normal/3178300150.jpg,a basketball player leaps with the ball while opponents try to block him.,a basketball player is trying to block a shot.
./blip/data/normal/2497343616.jpg,a small crowd gathered at a local seaman monument holding umbrellas.,people walking down a street with umbrellas.
./blip/data/normal/4665413015.jpg,"two men wearing orange robes and sandals are standing in front of the bean in millenium park, chicago.","in this scene. two monks stand in front of a large, reflective structure."
./blip/data/normal/4153147942.jpg,a woman wearing plaid pants rides a motorcycle down the road with a pillow and plant secured to the backseat.,a man wearing a blue t-shirt and blue pants is riding a motorcycle with a green basket on top.
./blip/data/normal/6317293855.jpg,"am upset young boy is sitting on a skateboard, on some stairs, and is holding a phone.",a boy is sitting on some steps and holding his cellphone.
./blip/data/normal/14559446.jpg,two men wearing hats and holding canes are standing silhouetted against a large body of water with sunlight reflecting off the water and a tree to the side.,in this scenario. two men are silhouetted as the sun sets over a golf course.
./blip/data/normal/3006095077.jpg,a couple of men in hats posing for a picture by a gas station.,"two men are standing outside, one with a jacket and another with a hat."
./blip/data/normal/1874530310.jpg,three construction workers are digging a whole next to a wall in a field.,three men in yellow vests and green shirts are working on a roof.
./blip/data/normal/2943557287.jpg,two people are looking at a child as one of them is pushing a wheelchair on the sidewalk.,a woman and man walking down a street.
./blip/data/normal/783994497.jpg,a group of people are getting fountain drinks at a convenience store.,two men are standing at a vending machine.
./blip/data/normal/2900560501.jpg,a group of young people take shots in a mexican setting.,people drinking at a table.
./blip/data/normal/2838888385.jpg,a group of colorful children in a room with a green carpet on the maroon floors.,"in this scenario. a group of children sitting on the floor, eating out of a large bin."
./blip/data/normal/6853360659.jpg,a woman with short red-hair is in some very cloudy water by a shoreline and only her head is above the water.,in this scenario. a woman is in a blue lagoon with steam rising from the water.
./blip/data/normal/4308077016.jpg,a guy in all black and boots is kicking in the air with an arid landscape in the background.,in this image. a man in black and white tries to kick a ball in the air above a grassy area with the
./blip/data/normal/3456488632.jpg,a couple embrace and kiss on the sidewalk in front of a parked limo as a pedestrian walks by them.,"people on the street, where a black mercedes benz is parked."
./blip/data/normal/5225675783.jpg,a young boy uses a flashlight to inspect something in a sidewalk grate.,a man is welding something on the street.
./blip/data/normal/407815946.jpg,the man carries ears of corn in his arms while out in the corn field.,in this situation. a man wearing a baseball cap and blue t-shirt is holding a large bundle of corn.
./blip/data/normal/581630745.jpg,a woman in a white top and khaki pants exercising on a piece of exercise equipment.,a woman is exercising on a stationary machine.
./blip/data/normal/2778313163.jpg,a woman in a blue t-shirt and jeans is sweeping concrete.,a woman is sweeping a concrete slab while another woman watches.
./blip/data/normal/411175971.jpg,a brown dog is shown standing in the water near a muddy beach.,a dog is in the water.
./blip/data/normal/1167908324.jpg,a man standing in a bar with a neon beer sign hanging on the wall,a man is standing in front of several machines.
./blip/data/normal/1250181412.jpg,six people ride mountain bikes through a jungle environment.,a group of people riding bicycles through a forest.
./blip/data/normal/4442323516.jpg,a family is walking on the sidewalk through the snow while a man sits on the side with his paper cup.,people sitting on a bench and using their cellphones.
./blip/data/normal/107969134.jpg,a mother decides to take her child on a piggyback ride outside their apartment complex.,in this scenario. a mother is holding her baby on her shoulder.
./blip/data/normal/2658439322.jpg,two performers putting on a mock fight for an audience that is watching attentively.,two men in medieval clothing are fighting in a public park.
./blip/data/normal/4983587808.jpg,a woman with blond-hair is sitting in a booth with a drink working on her laptop.,a woman is working on a laptop in a cafe.
./blip/data/normal/289638061.jpg,sports team on a field wearing yellow jerseys with a goal net to the right.,a soccer game in which two teams are playing.
./blip/data/normal/1408554531.jpg,a woman's lower body can be seen as she wears blue jeans and walks in front of a large sign depicting another woman wearing a black top and sunglasses.,a woman wearing black and blue carries a large bag along a sidewalk.
./blip/data/normal/3927465948.jpg,"two children and a woman are sitting on a sofa, one of the children has a camera.",a baby is sitting under a blanket while two women look at something.
./blip/data/normal/2537755800.jpg,two men wearing helmets and orange suits are having a conversation at a construction site.,three men in orange and black jackets are talking in a concrete structure.
./blip/data/normal/435054077.jpg,there are several dogs in the field where the girl with the ponytail is sitting down.,a woman is sitting on the ground watching two dogs.
./blip/data/normal/4687557453.jpg,two people in orange shirts sits at a table on the right of a group of people in blue shirts in front an old building.,a crowd of people sitting at tables under a large building.
./blip/data/normal/4587837067.jpg,a blond pregnant woman in a black shirt is standing in the kitchen with her hand on her belly holding something in her mouth.,a woman is preparing food in the kitchen.
./blip/data/normal/5566972.jpg,a man moves dirt using a large construction vehicle.,a man is working on a pile of dirt.
./blip/data/normal/1579206585.jpg,a girl is playing an electric guitar in front of an amplifier.,a woman is playing a guitar.
./blip/data/normal/3928395936.jpg,a woman in a red shirt and white skirt playing tennis with a blue racket.,a woman is playing tennis.
./blip/data/normal/2041867793.jpg,a child sitting at a restaurant table holding a paper mask against his face.,a little boy wearing a blue mask and eating a plate at a restaurant.
./blip/data/normal/3643021980.jpg,a young girl in a baby pink outfit poses for the camera while holding onto a jungle gym in a playground.,a little girl is hanging from a metal structure.
./blip/data/normal/4200930361.jpg,one white man and one african american man sitting at a long table that has colored note cards spread out on it.,in this scenario. a group of people are gathered around a table covered in sticky notes.
./blip/data/normal/4789959232.jpg,male in the street wearing a blue plaid shirt waiting for the light to turn.,a man in a blue t-shirt and blue jeans is standing in a crowd of people.
./blip/data/normal/2891943949.jpg,woman in orange jacket is sitting crossed legged on a bench while woman in blue is leaning against the glass.,people sitting on a bench.
./blip/data/normal/2872099696.jpg,"white man with a green shirt and denim pants with a hammer and chisel, creating some sort of artwork.",a man is working on a sculpture.
./blip/data/normal/4549977232.jpg,"one bald man is putting on a tie, which matches his button-down shirt, while looking into the mirror.",a man is preparing to go out.
./blip/data/normal/1313869424.jpg,"a shirtless man is fishing, standing on large rocks that rest next to a boardwalk with a tall lamp post in the forefront.",in this scenario. a man is fishing off of a stone walkway that is sitting on the water.
./blip/data/normal/4180952377.jpg,a man works on his car as he tries to keep warm with his hat and sweatshirt.,a man is working on the wheel of a car.
./blip/data/normal/2933637854.jpg,a football player wearing an orange uniform smiling and holding the football.,in this scene. a football player is holding a ball while smiling.
./blip/data/normal/4639459528.jpg,"a black dress mannequin, with a wooden leg stand, positioned next to a suitcase, and a female dressed in a gray sweater and black pants, reading a newspaper, in a crowded city square.",people sitting on benches and enjoying the outdoors.
./blip/data/normal/1526325728.jpg,light brown dog running towards something at the beach.,a dog is playing in the sand.
./blip/data/normal/2833502675.jpg,a man with brown hair and a green shirt is playing a trumpet.,a man in a green t-shirt and green pants is playing the trumpet in front of a green truck.
./blip/data/normal/155210731.jpg,"an asian woman wearing a asian dress sitting among a group of cloths, with a woven basket on her lap.",a woman wearing a black jacket and a blue sweater is standing in front of a table covered in various items.
./blip/data/normal/2975845158.jpg,"a boy and girl ride in the front of a small train labeled ""mississippi train"".",a group of children riding a toy train.
./blip/data/normal/395125320.jpg,a number of people are doing a synchronized martial arts performance in the street.,a group of people practicing a martial art.
./blip/data/normal/97233789.jpg,"a man, who is wearing the tan coat, is gambling at a casino slot machine.",a man is playing a game at a casino.
./blip/data/normal/4739632460.jpg,"two workers, one in a ditch and one standing on the ground, are working in front of a house.",two men in safety vests stand around a hole in the ground.
./blip/data/normal/4808278005.jpg,a bunch of people walking inside a shopping center.,people walking through a shopping mall.
./blip/data/normal/300577375.jpg,an officer stands next to a car on a city street.,a police officer stands in front of a chained-off area while a car drives past.
./blip/data/normal/3231575742.jpg,person in a racing ski outfit and a helmet is skiing while in a squat position.,a person in a black uniform is skiing down a slope.
./blip/data/normal/3501083764.jpg,woman in a white and gold shirt holding a baby and with three children and a man in a jacket.,in this photo. an african mother and her two children are standing in the sand.
./blip/data/normal/378434971.jpg,"a bulldozer works to demolish a decrepit building; in the background, another brick building waits for its demise, its face covered with a grid of blackened window-holes.",in this scene. a large excavator is working in front of a building that has been demolished.
./blip/data/normal/2613889835.jpg,a man in an orange kayak and a man in a blue kayak paddle around a beautiful lake.,two people are kayaking in a body of water.
./blip/data/normal/4885361477.jpg,"two young men walk toward the camera, with the redheaded man on the left turning his head to look back at three women in the background who are walking away in the other direction.",two men are walking down the street.
./blip/data/normal/3443404125.jpg,two older men are having a discussion outdoors in an area with stone walls and floor.,two men are sitting at a table.
./blip/data/normal/4818429638.jpg,a black man stands behind a garbage can with his hand raised in front of a sign urging people to repent of various sins as boy in a school blazer holds the hand of a man in shorts.,a man wearing a hat and shorts is walking past a bin.
./blip/data/normal/1798209205.jpg,a blond woman pours a glass of wine in a dim restaurant.,a woman is presenting a gift to a man at a table.
./blip/data/normal/1489286545.jpg,a man sits on a bench holding his dog and looking at the water.,a man and dog sitting on a bench.
./blip/data/normal/509123893.jpg,two little girls sitting on the edge of a street eating corn on the cob.,two little girls are sitting on the ground eating something off of the concrete.
